DATE_KEY,LEARNING_CONTENT_KEY
20241203,4cc2f6998e54bfa2e4a8830a4dafddbfd376edb63a6045097c0a3e4ba4019438
20241202,197d1246a424e78d00db9805ad03426171dd773f269ddf2f81ae301e1c9f8d26
20241203,0017b9113cfe6ecb511314cac5fcdf8899e72711ee24673cfcefcb2efc1726bd
20241202,4cc2f6998e54bfa2e4a8830a4dafddbfd376edb63a6045097c0a3e4ba4019438
20241202,4cc2f6998e54bfa2e4a8830a4dafddbfd376edb63a6045097c0a3e4ba4019438
20241203,4cc2f6998e54bfa2e4a8830a4dafddbfd376edb63a6045097c0a3e4ba4019438
20241203,0017b9113cfe6ecb511314cac5fcdf8899e72711ee24673cfcefcb2efc1726bd
20241202,4cc2f6998e54bfa2e4a8830a4dafddbfd376edb63a6045097c0a3e4ba4019438
20241203,0017b9113cfe6ecb511314cac5fcdf8899e72711ee24673cfcefcb2efc1726bd
20241203,0017b9113cfe6ecb511314cac5fcdf8899e72711ee24673cfcefcb2efc1726bd
20241202,4cc2f6998e54bfa2e4a8830a4dafddbfd376edb63a6045097c0a3e4ba4019438
20241203,4cc2f6998e54bfa2e4a8830a4dafddbfd376edb63a6045097c0a3e4ba4019438
20241203,52aec86b9a5ce72767674c4010568b02310407b7cf2fd2df1f890a0f4596f8fd
20241203,4cc2f6998e54bfa2e4a8830a4dafddbfd376edb63a6045097c0a3e4ba4019438
20241203,4cc2f6998e54bfa2e4a8830a4dafddbfd376edb63a6045097c0a3e4ba4019438
20241203,4cc2f6998e54bfa2e4a8830a4dafddbfd376edb63a6045097c0a3e4ba4019438
20241203,0017b9113cfe6ecb511314cac5fcdf8899e72711ee24673cfcefcb2efc1726bd
20241202,4cc2f6998e54bfa2e4a8830a4dafddbfd376edb63a6045097c0a3e4ba4019438
20241202,4cc2f6998e54bfa2e4a8830a4dafddbfd376edb63a6045097c0a3e4ba4019438
20241202,4cc2f6998e54bfa2e4a8830a4dafddbfd376edb63a6045097c0a3e4ba4019438
20241202,4cc2f6998e54bfa2e4a8830a4dafddbfd376edb63a6045097c0a3e4ba4019438
20241203,4cc2f6998e54bfa2e4a8830a4dafddbfd376edb63a6045097c0a3e4ba4019438
20241203,0017b9113cfe6ecb511314cac5fcdf8899e72711ee24673cfcefcb2efc1726bd
20241202,4cc2f6998e54bfa2e4a8830a4dafddbfd376edb63a6045097c0a3e4ba4019438
20241202,4cc2f6998e54bfa2e4a8830a4dafddbfd376edb63a6045097c0a3e4ba4019438
20241203,4cc2f6998e54bfa2e4a8830a4dafddbfd376edb63a6045097c0a3e4ba4019438
20241203,0017b9113cfe6ecb511314cac5fcdf8899e72711ee24673cfcefcb2efc1726bd
20241202,4cc2f6998e54bfa2e4a8830a4dafddbfd376edb63a6045097c0a3e4ba4019438
20241203,52aec86b9a5ce72767674c4010568b02310407b7cf2fd2df1f890a0f4596f8fd
20241202,99777cfb77bafba922323d4b876435e6f11c56751361a477f0230446c47fc760
20241203,0017b9113cfe6ecb511314cac5fcdf8899e72711ee24673cfcefcb2efc1726bd
20241203,0017b9113cfe6ecb511314cac5fcdf8899e72711ee24673cfcefcb2efc1726bd
20241203,0017b9113cfe6ecb511314cac5fcdf8899e72711ee24673cfcefcb2efc1726bd
20241201,4cc2f6998e54bfa2e4a8830a4dafddbfd376edb63a6045097c0a3e4ba4019438
20241201,4cc2f6998e54bfa2e4a8830a4dafddbfd376edb63a6045097c0a3e4ba4019438
20241203,4cc2f6998e54bfa2e4a8830a4dafddbfd376edb63a6045097c0a3e4ba4019438
20241203,4cc2f6998e54bfa2e4a8830a4dafddbfd376edb63a6045097c0a3e4ba4019438
20241203,4cc2f6998e54bfa2e4a8830a4dafddbfd376edb63a6045097c0a3e4ba4019438
20241203,4cc2f6998e54bfa2e4a8830a4dafddbfd376edb63a6045097c0a3e4ba4019438
20241202,f06b16cb6ef492573d388b50a1cad7a589d1fa996ad76c701a9efdca15b21a9d
20241202,4cc2f6998e54bfa2e4a8830a4dafddbfd376edb63a6045097c0a3e4ba4019438
20241202,4cc2f6998e54bfa2e4a8830a4dafddbfd376edb63a6045097c0a3e4ba4019438
20241203,0017b9113cfe6ecb511314cac5fcdf8899e72711ee24673cfcefcb2efc1726bd
20241203,0017b9113cfe6ecb511314cac5fcdf8899e72711ee24673cfcefcb2efc1726bd
20241202,4cc2f6998e54bfa2e4a8830a4dafddbfd376edb63a6045097c0a3e4ba4019438
20241203,4cc2f6998e54bfa2e4a8830a4dafddbfd376edb63a6045097c0a3e4ba4019438
