PROCESS_ID,PROCESS_NAME,SUBJECT_AREA,LAYER_NAME,SOURCE_SCHEMA_NAME,SOURCE_TABLE_NAME,SOURCE_FILE_NAME,SF_STAGE_NAME,SF_FILE_FORMAT_NAME,TARGET_SCHEMA_NAME,TARGET_TABLE_NAME,LOAD_TYPE,EDW_INS_DTTM,EDW_UPD_DTTM,RUN_TIME_SCHEDULE,DEPENDENCIES,SOURCE_POINT_OF_CONTACT
10201,DBT_PCN_PUBLIC_TRANSPARENT_FLOW_XREF,DB2,STG,PCN,TRANSPARENT_FLOW_XREF,TRANSPARENT_FLOW_XREF*.CSV,RAW_PCN_PUBLIC_STG,RAW_PCN_PUBLIC_CSV,STG_PCN_PUBLIC,TRANSPARENT_FLOW_XREF,UPSERTS,2022-02-14 19:15:33.514,2022-02-14 19:15:33.514,EVERY DAY,N/A,
10382,DBT_MART_SALES_CUSTOMER,SALES,MART,ETL_MART_SALES,CUSTOMER,NA,NA,NA,MART_SALES,CUSTOMER,FULL,2022-06-09 15:00:08.944,2022-06-09 15:00:08.944,@daily,NA,
10387,DBT_MART_SALES_BILLING_FACT,SALES,MART,ETL_MART_SALES,BILLING_FACT,NA,NA,NA,MART_SALES,BILLING_FACT,FULL,2022-06-10 14:35:51.929,2022-06-10 14:35:51.929,@daily,NA,
10408,DBT_MART_ENGINEERING_PART,SALES,MART,ETL_MART_SALES,PART,NA,NA,NA,MART_ENGINEERING,PART,INCR,2022-06-16 02:28:44.820,2022-06-16 02:28:44.820,@daily,NA,
10435,DBT_MART_SALES_PRODUCT,SALES,MART,ETL_MART_SALES,PRODUCT,NA,NA,NA,MART_SALES,PRODUCT,INCR,2022-06-21 14:53:04.979,2022-06-21 14:53:04.979,@daily,NA,
