BATCH_ID,PROCESS_ID,START_DTTM,END_DTTM,LWM_DTTM,HWM_DTTM,BATCH_STATUS,COMMENTS,EDW_INS_DTTM,EDW_UPD_DTTM
10169,10387,2022-06-16 12:14:15.489,2022-06-16 16:21:23.507,2018-02-15 00:00:00.000,2022-06-16 12:14:13.951,S,BATCH SUCCESS,2022-06-16 12:14:13.951,2022-06-16 16:21:23.507
10170,10387,2022-06-16 16:58:35.575,2022-06-16 17:02:54.717,2018-02-15 00:00:00.000,2022-06-16 16:58:34.249,S,BATCH SUCCESS,2022-06-16 16:58:34.249,2022-06-16 17:02:54.717
10229,10387,2022-06-17 08:20:43.805,2022-06-17 14:35:59.904,2018-02-15 00:00:00.000,2022-06-17 08:20:42.362,S,BATCH SUCCESS,2022-06-17 08:20:42.362,2022-06-17 14:35:59.904
10418,10387,2022-06-20 10:23:27.888,2022-06-24 16:00:38.233,2018-02-15 00:00:00.000,2022-06-20 10:23:26.478,S,BATCH SUCCESS,2022-06-20 10:23:26.478,2022-06-24 16:00:38.233
10899,10387,2022-06-28 12:33:21.190,,2018-02-15 00:00:00.000,2022-06-28 12:33:19.227,R,BATCH RUNNING,2022-06-28 12:33:19.227,2022-06-28 12:33:21.190
